    JESSEG,       Fe1, 3,       Cl2, 2.291, 0.581
    RADXAX,       Fe5, 3,       O12, 2.056, 0.455
    RADXAX,       Fe5, 3,       O11, 2.068, 0.441
    RADXAX,       Fe5, 3,        O9, 2.021, 0.501
    RADXAX,       Fe5, 3,        O8, 1.963, 0.586
    RADXAX,       Fe5, 3,        O7, 1.966, 0.581
    RADXAX,       Fe5, 3,       O9A, 2.019, 0.503
    RADXAX,       Fe2, 3,       O3A, 2.004, 0.524
    RADXAX,       Fe2, 3,        O6, 2.046, 0.468
    RADXAX,       Fe2, 3,        O4, 2.055, 0.457
    RADXAX,       Fe2, 3,        O3, 2.020, 0.502
    RADXAX,       Fe2, 3,        O2, 1.978, 0.562
    RADXAX,       Fe2, 3,        O1, 1.965, 0.582
    RADXAX,       Fe3, 3,        O5, 1.935, 0.632
    RADXAX,       Fe3, 3,        O4, 1.885, 0.723
    RADXAX,       Fe3, 3,        O3, 2.119, 0.384
    RADXAX,       Fe3, 3,       Cl2, 2.252, 0.645
    RADXAX,       Fe3, 3,       O6A, 1.880, 0.733
    GATWII,       Fe1, 3,       N11, 1.945, 0.704
    GATWII,       Fe1, 3,        N9, 1.947, 0.700
    GATWII,       Fe1, 3,        N1, 1.949, 0.696
    GATWII,       Fe1, 3,        N3, 1.945, 0.704
    GATWII,       Fe1, 3,        N5, 1.947, 0.700
    GATWII,       Fe1, 3,        N7, 1.943, 0.708
    RADXAX,       Fe1, 3,        O3, 1.951, 0.605
    RADXAX,       Fe1, 3,       Cl1, 2.260, 0.632
    RADXAX,       Fe1, 3,        N1, 2.231, 0.325
    RADXAX,       Fe1, 3,        N2, 2.270, 0.292
    RADXAX,       Fe1, 3,        N3, 2.352, 0.234
    RADXAX,       Fe1, 3,        N4, 2.426, 0.192
    RADXAX,       Fe1, 3,        O5, 2.051, 0.462
    LIHNUN,       Fe1, 3,        S2, 2.242, 0.747
    LIHNUN,       Fe1, 3,       S1A, 2.473, 0.400
    LIHNUN,       Fe1, 3,        S8, 2.250, 0.731
    LIHNUN,       Fe1, 3,        S7, 2.235, 0.761
    LIHNUN,       Fe1, 3,        S1, 2.241, 0.749
    RAKQEA,      Fe3B, 3,      O14B, 1.919, 0.660
    RAKQEA,      Fe3B, 3,       N2B, 2.162, 0.391
    RAKQEA,      Fe3B, 3,      O10B, 1.939, 0.625
    RAKQEA,      Fe3B, 3,       O6B, 2.048, 0.465
    RAKQEA,      Fe3B, 3,       O1B, 1.941, 0.621
    RAKQEA,      Fe3B, 3,       O8B, 2.066, 0.443
    RIHNUT,       Fe1, 3,       O3A, 1.896, 0.702
    RIHNUT,       Fe1, 3,       O3B, 1.896, 0.702
    RIHNUT,       Fe1, 3,        O3, 1.896, 0.702
    RIHNUT,       Fe1, 3,        O2, 1.753, 1.033
    UVAGOO,       Fe1, 3,        N1, 2.013, 0.586
    UVAGOO,       Fe1, 3,        N2, 1.996, 0.613
    UVAGOO,       Fe1, 3,        N3, 1.768, 1.135
    UVAGOO,       Fe1, 3,       Cl1, 2.210, 0.723
    DEQWEC,       Fe3, 3,       O16, 2.113, 0.390
    DEQWEC,       Fe3, 3,       O13, 2.012, 0.513
    DEQWEC,       Fe3, 3,       O11, 2.012, 0.513
    DEQWEC,       Fe3, 3,        O9, 1.977, 0.564
    DEQWEC,       Fe3, 3,        O7, 2.028, 0.491
    DEQWEC,       Fe3, 3,        O1, 1.897, 0.700
